번호,제목,출처,URL,게시일,요약
1,Trump threatens to restrict stadium deal with Washington Commanders if they don’t change name back to ‘Redskins’ | CNN Politics,CNN,https://www.cnn.com/2025/07/20/politics/washington-commanders-trump-stadium,2025-07-20T22:02:17Z,"트럼프 전 대통령은 워싱턴 커맨더스가 팀명을 레드스킨스로 바꾸지 않으면 새 경기장 건설 계약에 제동을 걸겠다고 협박했습니다.  그는 원주민 관련 팀명 변경은 시대착오적이라며 클리블랜드 가디언스도 인디언스로 팀명을 되돌려야 한다고 주장했습니다.  하지만 워싱턴 커맨더스는 인종차별적이라는 비판을 받아온 레드스킨스라는 팀명을 2020년에 변경했습니다.
"
2,Japan’s Sanseito party: How did a group that began on YouTube win big in the upper house election?,CNN,https://www.cnn.com/2025/07/21/asia/how-did-a-far-right-party-that-began-on-youtube-win-big-in-japans-recent-election,2025-07-21T05:55:20Z,"일본의 우익 포퓰리즘 정당 산세이토가 참의원 선거에서 14석을 확보하며 약진했습니다.  '일본 제일주의'를 내세우며 외국인 및 관광객 증가에 대한 불만을 자극한 것이 주효했습니다.  이로 인해 기존 여당은 상하원 모두 과반수를 잃었고, 총리 사퇴 압력에 직면했습니다.
"
3,Dems making '28 moves...,CNN,https://www.cnn.com/2025/07/17/politics/2028-presidential-election-democrats-analysis,2025-07-20T14:00:03Z,"2028년 미국 대선 출마를 노리는 민주당 후보들이 물밑 작업을 시작하며 경선 주요 지역 방문, 정책 구상 등에 나서고 있다.  캘리포니아 주지사 개빈 뉴섬, 켄터키 주지사 앤디 버셔 등 잠재적 후보들의 강점과 약점, 그리고 출마 가능성을 CNN 기자가 분석했다.  민주당은 트럼프 시대를 극복하려는 열망이 강하며, 아이오와를 제외한 사우스캐롤라이나, 뉴햄프셔, 네바다 등이 여전히 경선 초반 주요 지역으로 남을 것으로 전망된다.
"
4,NATO has promised a spending blitz. Can its European members afford it?,CNN,https://www.cnn.com/2025/07/21/business/nato-defense-spending-europe-afford-intl,2025-07-21T08:09:02Z,"NATO는 2035년까지 국방비 지출 목표를 GDP의 5%로 증액하기로 합의했지만, 유럽 회원국들은 재정 부담으로 어려움을 겪고 있습니다.  세금 인상, 지출 삭감, 추가 차입 등의 선택지가 있지만, 모두 정치적 또는 장기적 실행 가능성이 낮은 상황입니다.  일부 국가는 이미 높은 부채 비율을 가지고 있어 국방비 증액이 재정 위기를 심화시킬 수 있다는 우려가 제기되고 있습니다.
"
5,New tax law increases big beyond-the-grave tax break for the wealthy | CNN Business,CNN,https://www.cnn.com/2025/07/20/business/new-tax-law-increases-federal-estate-tax-exemption,2025-07-20T13:07:49Z,"미국 연방 상속세 면제 한도가 2026년부터 1인당 1,500만 달러로 상향 조정되고 이후 매년 물가상승률을 반영하여 조정됩니다.  부부의 경우 최대 3,000만 달러까지 상속세가 면제되며, 이는 'One Big Beautiful Act' 법안 덕분입니다.  상속세 면제 한도 상향으로 연방 세수는 향후 10년간 약 2,120억 달러 감소할 것으로 예상되지만, 주별 상속세는 여전히 적용될 수 있습니다.
"
6,CNN Poll: Americans largely oppose Trump’s ramp-up of deportations | CNN Politics,CNN,https://www.cnn.com/2025/07/20/politics/cnn-poll-trump-deportations,2025-07-20T12:00:42Z,"CNN 여론조사 결과, 미국인들은 트럼프 행정부의 강경한 추방 정책에 반대하고 있으며, 특히 범죄 기록이 없는 장기 거주 불법 이민자 추방에 대한 반대 여론이 높습니다.  응답자 과반수는 트럼프 대통령의 이민 정책이 지나치다고 생각하며, 구금 시설 확충 및 이민세관단속국 예산 증액에도 반대합니다.  민주당 지지층의 정책 반대가 압도적인 가운데, 공화당 지지층에서도 특정 정책에 대한 반대 의견이 나타나고 있습니다.
"
7,‘Superman’ director calls his hero an immigrant. Critics call him ‘Superwoke’,CNN,https://www.cnn.com/2025/07/20/entertainment/superman-immigrant-superwoke-debate-cec,2025-07-20T10:00:46Z,"슈퍼맨 감독 제임스 건은 슈퍼맨을 이민자로 묘사했고, 이에 대해 우익은 반발했지만 영화는 흥행 성공을 거두었다. 슈퍼맨의 이민자 설정은 만화 초기부터 존재했으며, 창작자들의 배경과 당시 시대상을 반영한다. 슈퍼맨은 이민자이면서 미국의 가치를 구현하는 존재로, 다양한 배경의 사람들이 자신과 연결되는 보편적인 영웅이다.
"
8,How Trump’s trade tariffs could affect the cost of coffee in the US – visualized | CNN Business,CNN,https://www.cnn.com/2025/07/20/business/us-coffee-prices-doubled-tariffs-hk-vis,2025-07-20T08:26:28Z,"미국은 커피 소비량이 많아 하루 5억 1600만 잔을 마시며 세계 최대 커피 수입국이다.  최근 트럼프 전 대통령이 브라질산 제품에 50% 관세 부과를 위협하여 커피 가격 상승 가능성이 있다.  브라질은 미국의 최대 커피 공급국이며,  이미 지난 5년간 커피 가격은 거의 두 배로 올랐다.
"
9,Zelensky calls for ceasefire talks with Russia next week | CNN,CNN,https://www.cnn.com/2025/07/19/europe/ukraine-calls-for-ceasefire-talks-russia-latam-intl,2025-07-19T23:50:23Z,"젤렌스키 우크라이나 대통령은 휴전 협상 진전을 위해 다음 주 러시아와의 회담을 촉구했으며, 러시아 측도 회담 제안을 받았다고 확인했습니다.  젤렌스키 대통령은 포로 교환, 어린이 귀환, 살상 중단 등에 대한 결정을 러시아가 회피해서는 안 된다고 강조하며 평화 확보를 위한 정상급 회담의 필요성을 역설했습니다.  미국은 휴전 협상 타결을 위해 러시아에 50일의 기한을 제시하며 압박하고 있지만, 러시아는 자국의 목표 달성을 최우선으로 하고 있어 협상 전망은 불투명합니다.
"
10,Gabbard threatens Obama officials with criminal referral over 2016 election assessment | CNN Politics,CNN,https://www.cnn.com/2025/07/19/politics/gabbard-threatens-obama-officials-2016-election,2025-07-19T16:12:46Z,"툴시 개버드 국가정보국장은 오바마 행정부 관계자들이 2016년 러시아 선거 개입에 대한 정보 평가를 정치적으로 조작했다고 주장하며 법무부에 형사 고발을 위협했습니다.  개버드 국장은 관련 문서를 기밀 해제하며 오바마 행정부가 트럼프에 대한 FBI의 러시아 수사를 위한 근거를 조작했다고 주장했지만, 민주당은 이를 역사를 다시 쓰려는 시도라고 비판했습니다.  상원 정보위원회는 초당적인 조사를 통해 러시아의 2016년 선거 개입 및 트럼프 당선 지원 시도 결론을 지지했으며, 개버드 국장의 주장은 신뢰할 수 없다고 반박했습니다.
"
